English,French
Hello!, salut!
I'm about ready.,Je suis quasiment prêt.
Tom almost fainted.,Tom était sur le point de s'évanouir.
I like talking.,J'aime causer.
There are no comments yet.,"Il n'y a, pour l'instant, pas de commentaires."
"Yes, I'm still here! Still checking the details.", Oui je suis toujours ici! Toujours en vérifiant les détails.
I'm glad that you're here.,Je me réjouis que vous soyez ici.
How can this work?,Comment ça marche ?
Let's take a walk.,Allons marcher.
The doctor's on his way.,Le docteur est en chemin.
There's nothing to report.,Il n'y a rien à signaler.
Tom seemed calm.,Tom a l'air calme.
Please don't ask.,"Ne demande pas, je te prie !"
It wouldn't hurt.,Ça ne ferait pas de mal.
They jumped into the water.,Elles ont sauté dans l'eau.
How much was on the receipt? , Combien était sur le reçu?
I began to sweat.,Je me suis mis à transpirer.
Is it for Duke Of Gordon Hotel?, Est-ce pour Duke Of Gordon Hotel?
That was the basic idea.,C'était l'idée de base.
What's your niece's name?,Quel est le nom de ta nièce ?
I have a kid.,J'ai un enfant.
I have to go to the city.,Il me faut me rendre en ville.
He's agreed to do the job.,Il a accepté de faire le travail.
What are the dates?, Quelles sont les dates?
This is a dead-end alley.,C'est un cul-de-sac.
We'll all be here for you.,Nous serons tous là pour vous.
Nobody showed up today.,Personne n'est venu aujourd'hui.
Who are you trying to kid?,De qui essaies-tu de te moquer?
You're very brave.,Tu es fort brave.
I've messed up.,J'ai tout foutu en l'air.
You don't even know how.,Tu ne sais même pas comment.
I just sent you the refund email., Je viens de vous envoyer l'e-mail de remboursement.
"Bye, Roseanne!"," Au revoir, Roseanne!"
It's far too small.,C'est beaucoup trop petit.
Don't wait for me.,Ne m'attendez pas.
What was he doing there?,Qu'y faisait-il ?
"Thank you, for your patience. ", Merci pour votre patience.
Is this seat empty?,Cette place est-elle libre ?
They're arguing.,Ils sont en train de se disputer.
Who was that?,C'était qui ?
He repeated his question.,Il répéta sa question.
"Hello, are you still there?", Bonjour vous êtes toujours là?
I slept all day.,J'ai dormi toute la journée.
What did you hear?,Qu'as-tu entendu ?
Where's the train station?,Où est la gare ?
I want to know who called.,Je veux savoir qui a téléphoné.
Get your gear.,Va chercher tes affaires !
We're not old.,Nous ne sommes pas vieux.
Is anyone looking?,Quiconque est-il en train de regarder ?
Supper is a simple meal.,Le souper est un repas simple.
We never lock that door.,Nous ne verrouillons jamais cette porte.
"Oh, I see. ", Oh je vois.
Thank you for waiting. , Merci pour l'attente.
Thanks! Checking it now. , Merci! Je vérifie maintenant.
What's the problem anyway?,"Quel est le problème, de toutes façons ?"
I need to check the booking to better assist you., Je dois vérifier la réservation pour mieux vous aider.
That's how he likes it.,C'est ainsi qu'il l'apprécie.
Is lunch ready?,Est-ce que le déjeuner est prêt ?
I really can't accept this.,Je ne peux vraiment pas accepter ça.
Hi there! Aljon here!   , Salut! Aljon ici!
I can hear you.,J'arrive à t'entendre.
Things are looking good.,Les choses se présentent bien.
"You did well, Tom.","Vous avez bien fait, Tom."
Where can I get a ticket?,Où puis-je acquérir un billet ?
I ought to go.,Il me faut y aller.
Get that thing off of me.,Enlève cette chose de moi !
Please leave.,"Pars, s'il te plaît."
The boy has good reflexes.,Le garçon a de bons réflexes.
I prefer spring to autumn.,Je préfère le printemps à l'automne.
Do you have enough money?,Disposez-vous de suffisamment d'argent ?
Thank you for your time., Merci pour votre temps.
You won't be needing that.,Tu n'auras pas besoin de ça.
"Hello, are you still there?", Bonjour vous êtes toujours là?
Is that a technical term?,Est-ce un terme technique ?
"Boys, don't make any noise.","Les garçons, ne faites pas de bruit."
Are you looking for work?,Cherches-tu du travail ?
We should hang out.,On devrait sortir.
It's yours if you want it.,"C'est à toi, si tu en veux."
Some of them were wounded.,Certaines d'entre elles furent blessées.
Are you good at cooking?,Êtes-vous bonnes en cuisine ?
I hate that book.,Je déteste ce livre.
Ok. Let me check. , D'accord. Laisse moi vérifier.
It's none of your business.,Ce ne sont pas tes oignons.
Do they have money?,Ont-ils de l'argent ?
I'm not an idiot.,Je ne suis pas idiot.
"Beautiful woman, isn't she?","Belle femme, n'est-ce pas ?"
4093008264,4093008264
That's what I'm afraid of.,C'est ce dont j'ai peur.
I think everybody's hungry.,Je pense que tout le monde a faim.
Do I look old?,Ai-je l'air vieille ?
Do you read me?,M'entendez-vous ?
Is that why you hired me?,Est-ce pour cela que vous m'avez embauché ?
Horses sleep standing up.,Les chevaux dorment debout.
혹시 사용하셨던 카드가 국내(한국)에서 발급된 카드인가요?, 혹시 사용 하셨던 카드 가 국내 (한국) 에서 발급 된 카드 인가요?
You look surprised.,Vous avez l'air surpris.
We're on the same side.,Nous sommes du même côté.
Do you have a pet?,Avez-vous un animal domestique ?
"Thanks, one moment please. "," Merci, un instant s'il vous plaît."
You are most welcome!, De rien!
I'm exercising.,Je suis en train de m'entraîner.
I swim every day.,Je nage tous les jours.
That's a beautiful story.,C'est une belle histoire.
All done., Terminé.
65,soixante-cinq
I think you need a lawyer.,Je pense qu'il vous faut un avocat.
Are we still connected?, Sommes-nous toujours connectés?
We were talking about you.,On parlait de toi.
I ran into a tree.,J'ai embouti un arbre.
We talked.,Nous nous entretînmes.
Is her story true?,Son histoire est-elle vraie ?
Yeah the number please?, Ouais le numéro s'il vous plait?
Can I have some of these?,Puis-je en avoir quelques-unes ?
When did he go to Europe?,Quand est-il allé en Europe ?
That was ours.,C'était le nôtre.
We're defenseless.,Nous sommes sans défenses.
The dog walked backward.,Le chien marcha en arrière.
This wine is very good.,Ce vin est très bon.
I went fishing with Tom.,Je suis allé pêcher avec Tom.
"Denice here, how are you doing today?"," Denice ici, comment vas-tu aujourd'hui?"
Did they hurt you?,T'ont-ils blessé ?
Have a drink.,Prenez un verre !
The girl let the bird go.,La fille laissa partir l'oiseau.
We're all the same.,Nous sommes toutes les mêmes.
It was only a hypothesis.,Ce n'était qu'une hypothèse.
"H, this is Danny."," H, voici Danny."
Verify Customer, Vérifier le client
Verify Customer, Vérifier le client
We depend on each other.,Nous dépendons les uns des autres.
Not a problem.   , Pas de problème.
I felt it my duty to do so.,J'ai pensé que c'était mon devoir de le faire.
Everybody waited.,Tout le monde a attendu.
I didn't know Tom retired.,Je ne savais pas que Tom était retraité.
Tom gave his dog a hug.,Tom fit un câlin à son chien.
ok let me check, OK laissez-moi vérifier
I just need a little time.,Je n'ai besoin que d'un peu de temps.
Get up out of bed.,Sortez du lit !
You're useless.,Vous êtes inutiles.
She is a kind girl.,C'est une gentille fille.
Shall we proceed? , Allons-nous procéder?
This is required.,C'est requis.
Were you out last night?,Es-tu sorti hier soir ?
He is very a dangerous man.,C'est un homme très dangereux.
"Sorry, I can't help you.","Désolé, je ne peux pas t'aider."
Help me make a list.,Aidez-moi à établir une liste !
He passed the examination.,Il passa l'examen avec succès.
40,quarante
Why are you so insecure?,Pourquoi te sens-tu si peu sûr de toi ?
Are you at home?,Tu es chez toi ?
Where are you now?,Où êtes-vous maintenant ?
That'll remain our secret.,Cela restera notre secret.
We all die.,Nous mourons tous.
"Hello, this is Luis.  How can I help? "," Bonjour, voici Luis. Comment puis-je aider?"
Absolutely. , Absolument.
No one knew who did it.,Tout le monde ignorait qui l'avait fait.
That'll be enough.,Ça sera suffisant.
Let me have a look at it.,Laissez-moi regarder !
I don't really like him.,Je ne l'apprécie pas vraiment.
You people are amazing.,Vous êtes des gens étonnants.
감사합니다. 다른 문의사항은 없으신가요?, 감사 합니다. 다른 문의 사항 은 없으신 가요?
Are you with me? , Es-tu avec moi?
We'll always remember Tom.,Nous nous souviendrons toujours de Tom.
Who ate the bread?,Qui a mangé le pain ?
35,Trente-cinq
Ok, D'accord
Do you believe in ghosts?,Crois-tu aux fantômes ?
Something had to be done.,Il fallait faire quelque chose.
You can do it.,Vous pouvez y arriver.
I don't dance.,Je ne danse pas.
Are you there?, Êtes-vous là?
What's happened to you?,Qu'est-ce qu'il t'est arrivé ?
What are you doing today?,Que faites-vous aujourd'hui ?
My wife is a vegetarian.,Ma femme est végétarienne.
They won't risk doing that.,Elles ne risqueront pas de faire ça.
This is my fate.,C'est ma destinée.
There were no problems.,Il n'y eut pas de problèmes.
I swear it's the last time.,Je jure que c'est la dernière fois.
Did you vote?,Avez-vous voté ?
"Sure, what is the email address on your account?  "," Bien sûr, quelle est l'adresse e-mail de votre compte?"
"Okay, one moment."," D'accord, un instant."
Here is my baggage.,C'est mon bagage.
There's no other choice.,Il n'y a pas d'autre choix.
No one will know.,Personne ne saura.
"You despise me, don't you?","Vous me méprisez, n'est-ce pas ?"
Tom has three brothers.,Tom a trois frères.
Tom's harmless.,Tom est inoffensif.
Can I take your picture?,Puis-je te prendre en photo ?
Just shut up and listen.,Ferme-la juste et écoute !
It's not possible to wait.,Ce n'est pas possible d'attendre.
I made these.,J'ai fait ceux-ci.
I'm being honest with you.,Je suis honnête avec vous.
Are you expecting anyone?,Attendez-vous qui que ce soit ?
A fuse has blown.,Un plomb a sauté.
 Etes-vous toujours là ? , Etes-vous toujours là?
Let's keep this private.,Gardons cela en secret.
We remained silent.,Nous sommes restées silencieuses.
I'm game.,J'en suis.
I love all of you.,Je vous adore toutes.
How did you find us?,Comment nous as-tu trouvées ?
My sister has long legs.,Ma sœur a de longues jambes.
Hello there.  , Bonjour.
Thank you for your patience. , Merci pour votre patience.
Tell me what I have to do.,Dites-moi ce que j'ai à faire.
No one is around.,Personne ne se trouve aux alentours.
Stay out of this.,Reste en dehors de ça !
Catch the ball.,Attrape le ballon.
I didn't win.,Je ne l'ai pas emporté.
Are you sure of it?,En êtes-vous sûres ?
Hi there., Salut.
Act like a man.,Conduis-toi en homme !
This is rubbish.,Ce sont des balivernes.
Go away. I'm busy.,Allez-vous en. Je suis occupée.
She slapped him.,Elle l'a giflé.
Tom died at 65.,Tom est mort à soixante-cinq ans.
8177737764,8177737764
Don't get yourself killed.,Ne te fais pas tuer.
I was shocked to see this.,J'ai été choquée de voir ça.
almost  done !, presque fini !
I will act on your advice.,J'agirai selon vos conseils.
"Yes, cancel"," Oui, annuler"
Is there anything else I can help with today? , Y a-t-il autre chose que je peux aider aujourd'hui?
I think I know you.,Je pense que je vous connais.
He's a Democrat fundraiser.,C'est un collecteur de fonds pour le parti Démocrate.
You need to wear a tuxedo.,Il vous faut porter un smoking.
I understand, je comprends
I won't be wearing a tie.,Je ne porterai pas de cravate.
"She loves chocolate, too.",Elle raffole également du chocolat.
Are you still there?, Tu es encore la?
"This is Kim, how may I assist you today?"," Voici Kim, comment puis-je vous aider aujourd'hui?"
I wonder whose car this is.,Je me demande à qui est cette voiture.
Are you still there?, Tu es encore la?
They could still be here.,Elles pourraient être encore ici.
Your French is excellent.,Votre français est excellent.
Tell me where she lives.,Dis-moi où elle vit !
Please provide me 5 more minutes., Veuillez me donner 5 minutes de plus.
Tom does volunteer work.,Tom fait du bénévolat.
They'll call them when they are open., Ils les appelleront lorsqu'ils seront ouverts.
He's going to love this.,Il va adorer ça.
She took him to the lake.,Elle l'emmena au lac.
Still there?, Toujours là?
I'll check on it. , Je vais vérifier.
Let me help you.,Laissez-moi vous aider.
Give us the details.,Donnez-nous les détails.
No one knew what to do.,Personne ne savait quoi faire.
Aren't you happy?,N'êtes-vous pas heureux ?
I can't do it alone.,Je ne peux le faire seul.
All the stores are closed.,Tous les magasins sont fermés.
How can I help you?, Comment puis-je vous aider?
Verify Customer, Vérifier le client
The meat's not ready yet.,La viande n'est pas encore prête.
I won the fight.,J'ai gagné le combat.
The heater doesn't work.,Le chauffage ne fonctionne pas.
"Great, one moment please. "," Super, un instant s'il vous plait."
"Okay, let me help you with that. "," D'accord, laissez-moi vous aider avec ça."
I like cats.,J'aime les chats.
I had something planned.,J'ai prévu quelque chose.
I feel empowered.,Je me sens investi de pouvoirs.
I want my money.,Je veux mon argent.
Write it in French.,Écrivez-le en français.
"I wanted to see you, too.",Je voulais te voir aussi.
I was always the fastest.,J'étais toujours la plus rapide.
Tom ordered a beer.,Tom a commandé une bière.
It's the correct answer.,C'est la bonne réponse.
"Yes, I just sent you a message. "," Oui, je viens de vous envoyer un message."
It wasn't all that bad.,Tout n'était pas si mauvais.
It is not for beginners.,Ce n'est pas pour les débutants.
Are you the manager?,Êtes-vous le directeur ?
The ice sheets are melting.,Les couches de glace fondent.
I'm very fat.,Je suis très gros.
I don't normally do that.,"Je ne fais pas cela, normalement."
Is there a hospital nearby?,Y a-t-il un hôpital à proximité ?
I wasn't thinking clearly.,Je n'avais pas les idées claires.
I was humiliated.,On m'a humilié.
Is this seat free?,Cette chaise est-elle libre ?
I bought a new television.,J'ai acheté une nouvelle télé.
I hate this school.,Je déteste cette école.
Yes , Oui
Let's presume you're right.,Supposons que tu aies raison.
Do you know how to drive?,Sais-tu conduire ?
Are you still there?, Tu es encore la?
I fully understand. , Je comprends parfaitement.
so I'm on that process already., donc je suis déjà sur ce processus.
Why are you whispering?,Pourquoi chuchotez-vous ?
Get a job.,Trouvez un emploi !
Is it OK if I open a can?,Puis-je ouvrir une boîte ?
He's your father.,Il est ton père.
You're welcome. I'm waiting now, De rien. J'attends maintenant
상담원 홍성민입니다. , 상담원 홍성민 입니다.
I have needs.,J'ai des besoins.
It's time to leave.,Il est temps de s'en aller.
I like sashimi.,J'aime le sashimi.
You're most welcome!, Vous êtes les bienvenus!
Tom played violin.,Tom a joué du violon.
This is my room.,Voici ma chambre.
Let's get out of the rain.,Mettons-nous à l'abri de la pluie.
How long have you waited?,Pendant combien de temps avez-vous attendu ?
Is that right?   , Est-ce correct?
Tom has my book.,Tom a mon livre.
That sounds very tempting.,Ça semble très tentant.
That's what you all say.,C'est ce que vous dites toutes.
How much time did we lose?,Combien de temps avons-nous perdu ?
I am not happy with my job.,Je ne suis pas heureux dans mon travail.
Did I give you enough time?,T'ai-je laissé assez de temps ?
Thanks!, Merci!
I had to stop.,Il fallait que je cesse.
I'm still working on your case., Je travaille toujours sur ton cas.
I knew this would happen.,Je savais que ça se produirait.
I'll happy to help you with your change., Je serai heureux de vous aider avec votre changement.
The game's almost over.,La partie est presque terminée.
Put your mask on.,Mets ton masque.
Are you still on a diet?,Tu es toujours au régime ?
Where does that bus go?,Où va ce bus ?
That makes sense.,Ça se tient.
Hi. How can I help you?, Salut. Comment puis-je vous aider?
Stay alert.,Restez sur vos gardes.
Awesome! :), Impressionnant! :)
Thank you. , Je vous remercie.
The restaurant wasn't full.,Le restaurant n'était pas plein.
I heard Tom scream.,J'ai entendu Tom crier.
Where's your father now?,Où est ton père maintenant?
Was it a hard decision?,Était-ce une décision difficile ?
Don't you remember my name?,Tu ne te souviens pas de mon nom ?
Want an update every 2 mins or once done is fine?," Vous voulez une mise à jour toutes les 2 minutes ou une fois terminé, ça va?"
I like swimming.,J'aime nager.
Most Welcome. , Je vous souhaite la bienvenue.
He is impatient to see you.,Il est impatient de te voir.
Have you ever been married?,Avez-vous jamais été marié ?
I saw an airplane.,J'ai vu un avion.
Whatever you say.,Comme tu voudras.
They won't be needing that.,Ils n'en auront pas besoin.
Keep reading.,Continue à lire !
"Hello, are you still there?  ", Bonjour vous êtes toujours là?
Look who's here.,Regarde qui est là.
Turn on the fan.,Allume le ventilateur.
I had a good coach.,J'ai eu un bon entraîneur.
I promise I'll be quiet.,Je promets que je serai calme.
Don't walk out on me again.,Ne me lâchez pas à nouveau !
He gave me a hint.,Il me donna un indice.
I kept hoping I'd meet Tom.,J'espérais rencontrer Tom.
How can I make you smile today?, Comment puis-je vous faire sourire aujourd'hui?
Don't try to do too much.,N'essaie pas d'en faire trop !
I already know who did it.,Je sais déjà qui l'a fait.
Can we go inside?,Pouvons-nous aller à l'intérieur ?
Total add collected is 93.10 GBP," L'addition totale collectée est de 93,10 GBP"
I'll put some coffee on.,Je vais mettre un café en route.
How would you like me to proceed?, Comment aimeriez-vous que je procède?
Tom has a prosthetic leg.,Tom a une prothèse de jambe.
Show canceled, Spectacle annulé
Mary is Tom's twin sister.,Mary est la jumelle de Tom.
I'll give you this camera.,Je vous donnerai cet appareil photo.
"Hello, are you still there?", Bonjour vous êtes toujours là?
Don't talk about my family.,N'évoque pas ma famille !
I didn't even notice you.,Je ne t'ai même pas remarqué.
You were clearly mistaken.,Tu te trompais clairement.
Tom hid under the table.,Tom se cacha en dessous de la table.
Thank you so much. , Merci beaucoup.
How late do you stay open?,Jusqu'à quelle heure restez-vous ouvert ?
Ask her her name.,Demandez-lui son nom.
He has a racket.,Il dispose d'une raquette.
It's getting cold here.,Il commence à faire froid ici.
I'm begging you.,Je vous en supplie.
He was not pleased.,Il n'a pas été content.
Ok, D'accord
She is on a diet.,Elle est au régime.
Tom took a shower.,Tom prit une douche.
Are you still there? , Tu es encore la?
We were soldiers.,Nous étions des soldats.
Please be quiet.,Veuillez garder le silence.
Read this first.,Lisez ceci d'abord.
21,vingt et un
I'll be ready next time.,Je serai prêt la prochaine fois.
He's a bigot.,C'est un sectaire.
We all knew it.,Nous le savions toutes.
This isn't my key.,Ce n'est pas ma clé.
This is reasonably priced.,C'est un prix raisonnable.
I'm going downtown.,Je vais en ville.
It's one of those moments.,C'est l'un de ces moments.
She wore a beautiful dress.,Elle porta une belle robe.
My throat is a bit dry.,Ma gorge est un peu sèche.
Great! I'm selecting the flight your told me., Génial! Je sélectionne le vol que tu m'as dit.
Could you do that?,Pourrais-tu faire ça ?
I had to lie again.,J'ai dû mentir à nouveau.
Circumstances have changed.,Les circonstances ont changé.
I made a sandwich for you.,Je t'ai fait un sandwich.
The worst is already over.,Le pire est déjà passé.
Thank you!, Je vous remercie!
Just pretend I'm not here.,Faites juste comme si je n'étais pas là !
This wall feels very cold.,Ce mur est très froid.
I really appreciate it!, J'apprécie vraiment cela!
I will always remember you.,Je me souviendrai toujours de vous.
Thanks for your patience Alex., Merci pour votre patience Alex.
Are you still there?, Tu es encore la?
I'll help you today., Je t'aiderai aujourd'hui.
This is your fault.,C'est votre faute.
Plants grow.,Les plantes croissent.
He is fluent in Chinese.,Il parle couramment le chinois.
Verify Customer, Vérifier le client
I could hear Tom yelling.,J'entends Tom hurler.
Are you still there? , Tu es encore la?
I see.,Je comprends.
What's the problem today?,Quel est le problème aujourd'hui ?
Let's turn and go back now.,Tournons et revenons maintenant !
This stain won't come out.,Cette tache refuse de partir.
I'm taking a bath.,Je suis en train de prendre mon bain.
Gotcha! Checking the details of the booking. , Je t'ai eu! Vérification des détails de la réservation.
I want to fight.,Je veux combattre.
Read fare rules, Lire les règles tarifaires
Please be careful.,"Soyez prudents, je vous prie."
I like history.,J'aime l'histoire.
Are we still connected?, Sommes-nous toujours connectés?
Thank you for your time.,Je vous remercie pour votre temps.
"Yes, cancel"," Oui, annuler"
I built it.,Je l'ai construite.
You're a wonderful guy.,Tu es un type génial.
I said thanks.,J'ai dit merci.
Select booking, Sélectionnez la réservation
I'm smashed.,Je suis fracassé !
She is used to cooking.,Elle a l'habitude de faire la cuisine.
Have a good day!, Bonne journée!
I work at a zoo.,Je travaille dans un zoo.
I know Tom will be fair.,Je sais que Tom sera juste.
I can't explain anything.,Je ne peux rien expliquer.
15134852856,15134852856
Take care bye now, Prends soin de toi maintenant
Anytime!, À tout moment!
This is not negotiable.,Ce n'est pas négociable.
He's a community leader.,C'est un chef de file de sa communauté.
They're all mine.,Ils sont tous à moi.
I'm skinny.,Je suis maigrichon.
I hope you're not alone.,J'espère que vous n'êtes pas seul.
We ought to win.,Nous devrions gagner.
I like to be early.,J'aime être en avance.
I can't see my dad.,Je ne vois pas mon père.
It changed nothing.,Ça n'a rien changé.
I must go alone.,Je dois y aller seul.
Is that a bear?,Est-ce que c'est un ours ?
I never suspected anything.,Je n'ai jamais rien suspecté.
You are only young once.,On n'est jeune qu'une fois.
I got you a present.,Je t'ai ramené un cadeau.
Wait one second.,Attends une seconde !
He worked very hard.,Il travailla très dur.
"Thanks! One moment. By the way, what's your name?"," Merci! Un moment. Au fait, quel est ton nom?"
I can't afford it.,Je n'en ai pas les moyens.
Dinner's ready.,Le dîner est prêt.
That never crossed my mind.,Cela ne m'a jamais traversé l'esprit.
You're welcome. , De rien.
Get me out of here.,Sortez-moi de là !
I'm fine.,Tout va bien.
That guy's got a big mouth.,Ce mec est une grande gueule.
He has a lunch.,Il dispose d'un déjeuner.
Thank you., Je vous remercie.
I hate losing.,Je déteste perdre.
What is that smell?,"C’est quoi, cette odeur ?"
The room is hot.,La pièce est brûlante.
This stinks.,Ça pue.
Are you still with me?, es-tu encore avec moi?
Aren't you cold?,N'avez-vous pas froid ?
Did I do something wrong?,Ai-je fait quelque chose de travers ?
Stop by whenever you can.,Arrête-toi quand tu peux !
Don't touch this!,Ne touche pas à ça !
Water is a liquid.,L'eau est un liquide.
Thanks a million.,Merci bien.
It was all over.,C'était fini.
Don't you watch old movies?,Ne regardes-tu pas de vieux films ?
I must concentrate.,Je dois me concentrer.
Thank you for being so patient, Merci d'être si patient
We saw you.,Nous vous avons vu.
I'm still here., Je suis encore là.
She made a scene.,Elle a fait une scène.
I think it's fine.,Je pense que c'est bon.
Are you still there? , Tu es encore la?
verify customer, vérifier le client
I have to run.,Il me faut courir.
Happy to help :), Heureux d'aider :)
I was just leaving.,Je m'apprêtais à partir.
Are you an idiot or what?,Mais t'es con ou quoi ?
Tom isn't like you.,Tom ne te ressemble pas.
I was talking about you.,Je parlais de toi.
We're not leaving.,Nous ne partons pas.
Were you able to see it?, Avez-vous pu le voir?
I never saw such a woman.,Jamais je n'ai vu pareille femme.
Hold on a minute.,Attends voir !
The middle one is mine.,Celle du milieu est la mienne.
It could be Tom.,Cela pourrait être Tom.
You need to exercise more.,Vous devez faire plus de sport.
It has been my pleasure., Ça a été mon plaisir.
I don't dream.,Je ne rêve pas.
I don't envy you.,Je ne vous envie pas.
Are these for sale?,Sont-ils à vendre ?
You're the teacher.,C'est vous l'enseignante.
Money has changed his life.,L'argent a changé sa vie.
"Means pay at the property, "," Moyens de payer à la propriété,"
October is over.,Octobre est terminé.
Who hired you?,Qui vous a recrutées ?
I didn't know Tom.,Je ne connaissais pas Tom.
You seem to be a busy guy.,Tu sembles être un mec occupé.
I don't feel like dancing.,Je n'ai pas envie de danser.
Have they responded?,Ont-ils répondu ?
She's a bit naive.,Elle est un peu naïve.
You can't quit now.,Vous ne pouvez pas démissionner maintenant.
Thanks doe being so patience., Merci d'être si patient.
"Hi, this is Kevin."," Salut, c'est Kevin."
Hi there! How can I help you?, Salut! Comment puis-je vous aider?
"Yes, cancel"," Oui, annuler"
Tom ate more than I did.,Tom a mangé plus que moi.
I only have one suggestion.,Je n'ai qu'une suggestion.
There was snow on the road.,Il y avait de la neige sur la route.
Are you still there?, Tu es encore la?
Tom said that he liked me.,Tom a dit qu'il m'appréciait.
I'm calling my superior. , J'appelle mon supérieur.
May I open the box?,Puis-je ouvrir la boîte ?
The night is still young.,La nuit ne fait que commencer.
It has a leak.,Elle a une fuite.
"Alright, stay safe and healthy!"," D'accord, restez en sécurité et en bonne santé!"
I did that very carefully.,Je l'ai fait très attentivement.
You're too slow.,Vous êtes trop lente.
Show us what you've got.,Montre-nous ce que tu as.
She liked it.,Elle l'a apprécié.
Thanks , Merci
I'm growing a beard again.,Je me fais à nouveau pousser la barbe.
Tom missed it.,Ça manquait à Tom.
"Hi Thulfiqar, this is Karen. "," Salut Thulfiqar, voici Karen."
He stopped drinking.,Il a arrêté de boire.
I'm not really mad at you.,Je ne suis pas vraiment en colère contre toi.
Did I break it?,L'ai-je cassée ?
I'm not keeping this thing.,Je ne vais pas garder cette chose.
I got there ahead of time.,J'y suis parvenu en avance.
Tom did as Mary suggested.,Tom a fait comme Marie l'avait recommandé.
This directly concerns Tom.,Ceci concerne directement Tom.
Should we wait?,Devrions-nous attendre ?
"By any chance, can you tell me what you preferred?"," Par hasard, pouvez-vous me dire ce que vous avez préféré?"
Are you trying to book a flight ?, Essayez-vous de réserver un vol?
Tom signed the contract.,Tom signa le contrat.
Give me a call tomorrow.,Donne-moi un coup de fil demain.
Are you growing a beard?,Vous laissez-vous pousser la barbe ?
I'm not a great carpenter.,Je ne suis pas un super charpentier.
Let me send email to the hotel., Permettez-moi d'envoyer un e-mail à l'hôtel.
You're welcome. , De rien.
She's my sister.,C'est ma sœur.
"Hi, this is Dennis."," Salut, c'est Dennis."
You took the wrong key.,Vous vous êtes trompé de clé.
Get the box.,Prenez la boîte.
I like movies.,J'aime le cinéma.
I was horrified.,J'ai été horrifiée.
"Includes Air Conditioning, unlimited mileage."," Comprend la climatisation, kilométrage illimité."
"Hi, this is Karen. "," Salut, c'est Karen."
Keep Tom safe.,Protège Tom.
Why do you have to do it?,Pourquoi devez-vous le faire ?
Your cancellation is now complete., Votre annulation est maintenant terminée.
On the same room?, Dans la même pièce?
You're always nagging me.,Tu es toujours en train de me tarabuster.
your welcome , vous êtes le bienvenu
"If you're not happy, quit.","Si vous n'êtes pas satisfait, laissez tomber !"
Nothing is going to happen.,Rien ne va survenir.
Are they busy?,Sont-elles occupées ?
She pulled the blinds down.,Elle baissa les volets.
I refused to pay.,Je me refusai à payer.
Our house faces the beach.,Notre maison est en face de la plage.
The battery's dead.,L'accu est à plat.
"Hello, are you still there?  ", Bonjour vous êtes toujours là?
Tom says you're a genius.,Tom dit que tu es un génie.
How did you become a cop?,Comment es-tu devenue policière ?
"I'm sorry, it may take a while."," Je suis désolé, cela peut prendre un certain temps."
Hello again.,Re-bonjour.
I don't require assistance.,Je ne requiers pas d'assistance.
It's wrong to tell lies.,C'est mal de dire un mensonge.
Everyone loves him.,Chacun l'aime.
Did you murder Tom?,As-tu tué Tom ?
"Tell me, how can I help you?"," Dites-moi, comment puis-je vous aider?"
How much money do you have?,De combien d'argent disposez-vous ?
Tom is funny.,Tom est marrant.
What are your pet peeves?,Quels sont tes motifs d'irritation favoris ?
I listened to his story.,J'ai écouté son histoire.
That's what you told me.,C'est ce que tu m'as dit.
They fought for freedom.,Ils se sont battus pour la liberté.
7.42E+12, 7.42361E + 12
Everyone felt safe.,Tout le monde se sentit en sécurité.
"I understand, Marc."," Je comprends, Marc."
Yep~ , Ouais ~
Heureusement, Heureusement
We're freezing.,On se gèle.
I envy you.,Je t'envie.
That's accurate enough.,C'est suffisamment précis.
You can do that.,Vous pouvez faire cela.
Mary is my half-sister.,Marie est ma demi-sœur.
Please look for it.,"Cherche-la, je te prie."
Verify Customer, Vérifier le client
"Yes, I'm here. "," Oui, je suis là."
We all had a great time.,Nous avons toutes passé du bon temps.
Select booking, Sélectionnez la réservation
Tom didn't scream.,Tom n'a pas hurlé.
He is not stupid.,Il n'est pas idiot.
You can't blame me.,Tu ne peux pas me faire reproche.
"Hi, there. ", Salut.
​Hi! This is Andy., Salut! Voici Andy.
You aren't ready for this.,Vous n'êtes pas prêts pour ceci.
"Hi, this is Luis, how can I help you? "," Salut, c'est Luis, comment puis-je vous aider?"
Did you go out?,Êtes-vous sortie ?
Don't touch me!,Ne me touche pas !
You're not fit.,Vous ne convenez pas.
Thank you for waiting., Merci pour l'attente.
I am engaged to her.,Je suis fiancé avec elle.
I was moved by his tears.,J'ai été ému par ses larmes.
No prob! ," Non, essayez!"
Do you like sports?,Vous aimez le sport ?
She can't ski.,Elle ne sait pas skier.
"Two small bottles, please.","Deux petites bouteilles, s'il vous plaît."
I was very happy about it.,J'en étais très heureuse.
I think I have a cavity.,Je pense que j'ai une carie.
I ran downstairs.,Je me suis précipitée en bas.
Yes! working on it. , Oui! J'y travaille.
Speaking to them now., Je leur parle maintenant.
May I know who I'm chatting with?, Puis-je savoir avec qui je discute?
Everything is set.,Tout est prêt.
"Sorry, I didn't hear you.","Désolée, je ne t'ai pas entendue."
Don't ask for money.,Ne demande pas d'argent.
It's a matter of taste.,Les goûts et les couleurs...
I am sorry about the wait ., Je suis désolé pour l'attente.
Where did I put my coat?,Où ai-je mis mon manteau ?
